"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","03-Jan-2011","        618.80","        620.90","        622.86","        619.05","        622.00","        621.66","        621.00","      35971","            22338074.23","-","      24865","         69.13"
"NIFTYBEES","EQ","04-Jan-2011","        621.66","        622.00","        622.00","        616.00","        616.95","        617.75","        619.11","      46754","            28945787.71","-","      29000","         62.03"
"NIFTYBEES","EQ","05-Jan-2011","        617.75","        620.00","        620.00","        612.11","        613.25","        614.67","        615.58","      46455","            28596865.24","-","      36688","         78.98"
"NIFTYBEES","EQ","06-Jan-2011","        614.67","        616.55","        617.00","        606.60","        607.10","        607.46","        608.35","     131737","            80142408.85","-","      91906","         69.76"
"NIFTYBEES","EQ","07-Jan-2011","        607.46","        609.50","        609.50","        597.50","        597.50","        598.97","        602.53","     108103","            65135667.80","-","      90445","         83.67"
"NIFTYBEES","EQ","10-Jan-2011","        598.97","        601.00","        601.00","        582.00","        588.00","        585.01","        589.82","     116067","            68459036.32","-","      89633","         77.23"
"NIFTYBEES","EQ","11-Jan-2011","        585.01","        587.00","        590.50","        572.25","        587.80","        578.69","        582.98","     183547","           107004108.57","-","     130650","         71.18"
"NIFTYBEES","EQ","12-Jan-2011","        578.69","        588.00","        597.50","        576.90","        593.00","        594.89","        587.13","     117468","            68969360.28","-","      69863","         59.47"
"NIFTYBEES","EQ","13-Jan-2011","        594.89","        590.10","        594.00","        583.01","        585.60","        584.28","        587.87","     106345","            62517314.39","-","      49181","         46.25"
"NIFTYBEES","EQ","14-Jan-2011","        584.28","        587.00","        591.00","        573.85","        580.00","        575.51","        582.88","     200844","           117068429.73","-","     127130","         63.30"
"NIFTYBEES","EQ","17-Jan-2011","        575.51","        575.00","        579.00","        570.05","        574.50","        573.52","        575.18","     161109","            92667014.39","-","     118723","         73.69"
"NIFTYBEES","EQ","18-Jan-2011","        573.52","        575.00","        583.25","        575.00","        582.25","        581.39","        579.19","     100145","            58003070.34","-","      61904","         61.81"
"NIFTYBEES","EQ","19-Jan-2011","        581.39","        582.25","        584.88","        575.35","        579.50","        578.91","        579.33","      85179","            49346862.20","-","      43881","         51.52"
"NIFTYBEES","EQ","20-Jan-2011","        578.91","        574.00","        584.00","        571.00","        583.95","        581.11","        576.36","      58441","            33683039.69","-","      32481","         55.58"
"NIFTYBEES","EQ","21-Jan-2011","        581.11","        578.00","        582.40","        574.00","        582.00","        579.24","        579.05","      48139","            27874981.38","-","      18695","         38.84"
"NIFTYBEES","EQ","24-Jan-2011","        579.24","        582.00","        586.00","        576.20","        582.15","        583.56","        582.13","      56675","            32992463.58","-","      30212","         53.31"
"NIFTYBEES","EQ","25-Jan-2011","        583.56","        585.00","        589.00","        577.05","        579.00","        577.87","        582.30","      70188","            40870666.68","-","      33169","         47.26"
"NIFTYBEES","EQ","27-Jan-2011","        577.87","        577.00","        584.00","        568.00","        570.50","        569.57","        572.43","     113870","            65183061.20","-","      69183","         60.76"
"NIFTYBEES","EQ","28-Jan-2011","        569.57","        571.00","        571.00","        554.50","        559.50","        558.46","        560.65","     224054","           125616915.30","-","     138442","         61.79"
"NIFTYBEES","EQ","31-Jan-2011","        558.46","        559.00","        559.60","        550.60","        554.00","        554.68","        555.10","     211302","           117294080.20","-","     112988","         53.47"
"NIFTYBEES","EQ","01-Feb-2011","        554.68","        558.00","        560.00","        545.00","        545.08","        545.97","        549.25","     150528","            82677174.14","-","      83794","         55.67"
"NIFTYBEES","EQ","02-Feb-2011","        545.97","        553.92","        553.92","        545.75","        546.85","        546.33","        549.57","     263783","           144967484.12","-","     157586","         59.74"
"NIFTYBEES","EQ","03-Feb-2011","        546.33","        549.00","        560.00","        546.10","        560.00","        559.01","        555.18","      53068","            29462545.31","-","      33309","         62.77"
"NIFTYBEES","EQ","04-Feb-2011","        559.01","        560.00","        562.20","        543.60","        553.00","        546.37","        552.27","      95959","            52995324.74","-","      68022","         70.89"
